class_name,class_description
YSO,Young Stellar Object.
CEP,"Cepheid variable types: delta Cepheid, anomalous Cepheid, and type-II Cepheid."
BCEP,Beta Cephei type variable.
SPB,Slowly Pulsating B-star variable.
EP,Star with exoplanet transits.
SYST,Symbiotic variable star.
ACYG,Alpha Cygni-type variable.
WD,"White Dwarf variable stars of types: ZZ Ceti (DAV, ZZA), V777 Herculis (DBV, ZZB), and GW Virginis (DOV, ZZO)."
CV,Cataclysmic variable.
AGN,Active Galactic Nuclei (including Quasars).
